Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
56,55,0.23123378205128203,52
55,143,0.11050502028397566,136
54,73,0.10124703078433016,43
53,41,0.10354961399584009,15
52,25,0.07452464491108766,9
51,120,0.0958664659018183,80
50,80,0.12547981350824217,64
49,136,0.1661880533512321,125
48,148,0.10459047497208072,111
47,216,0.16095288486551013,147
46,181,0.10969946775956323,42
45,45,0.122,10
44,1343,0.08890735160666861,3
43,11,,
42,675,,
41,4,,
39,4,0.01677948447088859,3
38,1,,
37,7,0.12785916957076182,4
36,28,,
35,3,,
34,13,,
33,14,,
32,13,0.1003500416956324,3
31,53,0.085931660952943,23
30,8,0.334110999028494,3
29,9,0.10409628520884644,2
28,5,0.009035974498991961,1
27,12,0.08915235360636335,7
26,7,,
25,67,,
23,3,,
19,1,,
16,1,,
