Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
56,50,0.1744782825431545,49
55,153,0.2548935019642077,143
54,71,1.0971268126062754,48
53,37,0.5013300852766259,16
52,24,1.7079131955732072,9
51,113,2.1571306753727058,73
50,86,33255353.38643184,63
49,133,71.72026703705293,121
48,154,31.589945571298554,113
47,208,4363.611555174988,141
46,189,21543.34647438603,44
45,43,36804923.257847,10
44,1342,8401871.807368528,2
43,12,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,191223.4439089084,4
36,28,,
35,2,,
34,14,308549.6835928031,13
33,15,,
32,13,283228.9619512965,4
31,52,114982.15200772182,23
30,8,217433.79111862442,3
29,9,308260.03926005214,2
28,5,553439.8728054515,1
27,13,332590.17052949953,8
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
