Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
56,48,,
55,149,0.10823985507246377,138
54,75,0.09998510638297872,47
53,38,0.09755625,16
52,23,0.05125,8
51,113,0.07045833333333333,72
50,89,0.16144307696923077,65
49,133,0.13326682926829267,123
48,154,0.12068686953913044,115
47,211,0.10031979452054794,146
46,183,0.09772325581395348,43
45,44,0.09970000000000001,10
44,1343,0.0818,3
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,1,,
37,8,0.0069250000000000015,4
36,28,,
35,2,,
34,11,0.0781779997,10
33,19,0.086998125,16
32,12,0.0614,4
31,52,0.08644347826086957,23
30,9,0.044649999999999995,4
29,9,0.016333333333333325,3
28,4,0.10200000000000001,1
27,12,0.07875714285714286,7
26,7,,
25,67,,
23,3,,
19,1,,
16,1,,
