Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
56,52,,
55,143,0.1082393686612576,136
54,76,0.09664764830271431,46
53,38,0.09829227807371707,15
52,26,0.07510878810938991,10
51,118,0.09528470597880266,79
50,83,0.11783619293218213,66
49,134,0.16350445028632754,125
48,151,0.10549532653778637,114
47,207,0.1640728307070051,141
46,186,0.1037539848774772,41
45,44,0.11875,8
44,1344,0.06681302462231728,2
43,12,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.13906029903851244,1
37,7,0.12659321057028045,4
36,28,,
35,3,,
34,12,,
33,15,0.16384683703768987,14
32,14,0.11646891988273282,4
31,51,0.0964363673832395,22
30,9,0.22242334103788144,3
29,9,0.10566195773716618,2
28,5,0.010600739916924479,1
27,12,0.10330232653951664,7
26,7,,
25,67,,
23,3,,
19,1,,
16,1,,
