Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
56,49,,
55,149,0.12347358329206216,139
54,72,0.09744420568595405,45
53,38,0.10307969901366591,14
52,24,0.07054179310263893,7
51,123,0.08153211333488551,81
50,80,0.09127719956880363,65
49,138,0.1184388696238142,128
48,149,0.10008075261444982,115
47,207,0.08648987050753498,142
46,182,0.10235648413114178,38
45,47,0.1096666408733375,8
44,1344,0.036780731404159016,2
43,12,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.0963313325678101,4
36,28,,
35,3,,
34,11,,
33,16,0.1310677111796572,14
32,13,0.053512509094639664,3
31,54,0.07672371905125876,24
30,8,0.17950976859263834,4
29,9,0.1548256693417752,3
28,4,0.07345732971480494,1
27,12,0.07921983746048876,7
26,7,,
25,67,,
23,3,,
18,1,,
16,1,,
