Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
56,52,,
55,151,0.11616164478319448,144
54,70,0.09682292047116446,48
53,35,0.08994882453632216,14
52,27,0.07727685799411159,10
51,114,0.08242661821971556,75
50,85,0.10032781648925476,64
49,138,0.11978884263683834,127
48,143,0.09372159612919764,108
47,209,0.09127845665735025,137
46,189,0.09699644503711369,40
45,47,0.11638047196909382,10
44,1343,0.09224787326674155,3
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.07245679484062008,1
37,7,0.087361857614892,4
36,28,,
35,2,,
34,11,0.07377501825562383,10
33,18,0.1085119978560451,15
32,13,0.04606957873373761,4
31,53,0.06679410455776605,24
30,8,0.16813104919193972,4
29,9,0.08830694562695952,3
28,4,0.03795286877638224,1
27,13,0.06761799388541025,8
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
