Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
56,55,,
55,147,0.12350434055275866,143
54,72,0.0996545135170189,49
53,32,0.08967530792976913,12
52,25,0.07695092663201404,6
51,114,0.08463145273565138,71
50,87,0.09311104189264215,62
49,134,0.12371391102259978,121
48,155,0.10646860380341787,114
47,214,0.08784435413117178,148
46,176,0.09985352038269535,38
45,48,0.10215222652747635,9
44,1344,0.0952898042569187,3
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.07623320708373453,1
37,7,0.07527147055268923,4
36,28,,
35,3,,
34,12,,
33,15,0.12050040052200217,14
32,14,0.040005209669864594,4
31,55,0.05563665642576852,26
30,5,0.26795952811420753,3
29,9,0.10793765833832489,2
28,5,0.15978873207577599,1
27,12,0.11361807788771483,7
26,7,,
25,67,,
23,3,,
19,1,,
16,1,,
