Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
56,53,0.16308634615384615,52
55,143,0.11101654411764705,136
54,76,0.10268934782608696,46
53,36,0.10073132307692308,13
52,27,0.09773719111111111,9
51,113,0.08508904591780822,73
50,91,0.11875667741176471,68
49,133,0.14408525564444444,126
48,150,0.12450422774456141,114
47,209,0.12874809343194407,143
46,183,0.13159512354304,40
45,45,0.132805578,8
44,1345,0.103242172032,3
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.082881511904,4
36,28,,
35,3,,
34,12,,
33,15,0.16618209613154888,14
32,13,0.055830666666666647,3
31,55,0.08938498490470399,25
30,7,0.20138016000000003,4
29,9,0.07918666666666666,3
28,4,0.04533600000000004,1
27,13,0.07727184202368001,8
26,6,,
25,67,,
23,3,,
18,1,,
16,1,,
