Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
56,49,,
55,149,0.12202639500755143,139
54,75,0.08596707600341538,48
53,36,0.09809086614261081,15
52,25,0.08749586967169724,9
51,114,0.06926611051916486,74
50,87,0.10031010148032586,65
49,133,0.11144395804552389,123
48,150,0.10858490218602453,111
47,212,0.09465918863856328,143
46,185,0.10391589862868415,42
45,43,0.10552334626994424,8
44,1345,0.09562080955858142,3
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,0.08450370549912321,3
36,29,,
35,3,,
34,12,,
33,16,0.1445350381793771,15
32,13,0.04508036878553022,4
31,53,0.056898857956445704,24
30,8,0.17573614188536052,4
29,9,0.120059521631632,3
28,4,0.1187130365055528,1
27,13,0.07287207436309436,8
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
