Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
56,51,0.21889295503347278,50
55,150,0.10662949701155662,141
54,74,0.09885183121436142,49
53,32,0.09549548775720501,12
52,29,0.07343624232108811,10
51,114,0.08321153546121261,75
50,86,0.11535262055595873,65
49,133,0.10992827233749103,123
48,151,0.10684521351186517,112
47,209,0.08645226358107946,141
46,184,0.10295474807068385,39
45,47,0.1163064018915264,9
44,1344,0.07145652929529081,3
43,11,,
42,675,,
41,4,,
39,4,0.02105291426759261,3
38,1,,
37,7,0.09864948460924014,4
36,28,,
35,3,,
34,13,,
33,15,,
32,13,0.032648224008514325,4
31,54,0.06019050051579988,25
30,6,0.18161115636951608,3
29,10,0.05953043504843363,3
28,4,0.011021961417684356,1
27,13,0.07897263122625803,8
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
