Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
56,50,,
55,151,0.11989422535211268,142
54,70,0.10763130434782608,46
53,38,0.10060533333333334,15
52,25,0.08177777777777777,9
51,113,0.05854246575342466,73
50,85,0.11909548382258064,62
49,136,0.13294861788617887,123
48,152,0.09590681413274336,113
47,208,0.09228439716312056,141
46,186,0.09571219512195123,41
45,44,0.14000875,8
44,1345,0.05246666666666667,3
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.023452500000000025,4
36,28,,
35,3,,
34,13,,
33,16,,
32,12,0.10415,4
31,54,0.09232,25
30,7,0.12042499999999995,4
29,8,0.13035,2
28,5,0.010000000000000009,1
27,13,0.08540125000000001,8
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
