Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
56,49,0.25948923118932604,48
55,153,0.13489845406942716,142
54,69,0.14009754004980154,45
53,36,0.13067493090871463,12
52,28,0.10134372588417999,9
51,114,0.11238147638201912,74
50,88,0.28428348601687187,66
49,134,0.11954504009295265,125
48,154,0.13246382847599092,117
47,205,0.08140373377435545,142
46,183,0.09158063904428367,39
45,47,0.11609973545976622,9
44,1344,0.1095636408298122,3
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.07751842680106974,1
37,7,0.14276483404348875,4
36,28,,
35,2,,
34,13,0.11117017919040877,12
33,16,0.1509470994195938,15
32,13,0.08435912137117026,4
31,54,0.07473189398225229,25
30,6,0.1888556629351438,3
29,10,0.12323180654306803,3
28,4,0.18203850907315236,1
27,13,0.10327705506907588,8
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
