Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
56,53,0.15980942307692309,52
55,141,0.10818283582089552,134
54,79,0.1286455319148936,47
53,37,0.11133333333333334,15
52,26,0.0898,10
51,116,0.059961038961038965,77
50,87,0.14313411760294117,68
49,132,0.1257116,125
48,150,0.1089020353982301,113
47,207,0.09694892857142857,140
46,188,0.10965952380952382,42
45,44,0.06300000000000001,9
44,1343,0.12,2
43,12,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,5,0.053349999999999995,2
36,30,,
35,3,,
34,11,,
33,17,0.09506666666666667,15
32,13,0.11659999999999994,4
31,55,0.07630846153846155,26
30,5,0.013410000000000004,3
29,8,0.065,1
28,6,0.039999999999999994,1
27,12,0.11514285714285716,7
26,7,,
25,67,,
23,3,,
19,1,,
16,1,,
