Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
56,48,,
55,148,0.11140198143581204,137
54,78,0.0975069884624439,49
53,31,0.10848320369202516,11
52,28,0.0901147993541926,8
51,117,0.08364211429773104,76
50,85,0.10429695506676374,65
49,134,0.10358961071046306,124
48,155,0.10205887570331026,117
47,208,0.08272675384568548,145
46,184,0.10884635844743676,43
45,43,0.1128037641304506,9
44,1343,0.092625655374327,2
43,12,,
42,675,,
41,4,,
40,1,,
39,2,,
38,1,,
37,8,0.11119306500633462,4
36,28,,
35,3,,
34,11,,
33,17,0.10412826320839355,15
32,13,0.04547319311688303,4
31,53,0.07076507175822906,24
30,6,0.2979407226872893,2
29,10,0.05916041809904535,2
28,5,0.008928146347690374,1
27,13,0.09409782960883173,8
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
