Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
56,51,0.19964023725754235,50
55,146,0.10881784614630176,137
54,77,0.09152164137495633,48
53,36,0.09270740070848381,15
52,26,0.06723232052631758,10
51,111,0.07455844003379702,72
50,91,0.1093718731390099,67
49,132,0.14095704965062242,124
48,153,0.10464059156007707,115
47,208,0.08473187856674157,143
46,185,0.11221287526259724,42
45,44,0.11611868561585278,9
44,1344,0.08702441798201001,3
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.06620190615459581,4
36,28,,
35,2,,
34,11,0.06634438496349761,10
33,18,0.10607728467931052,15
32,11,0.03635577482152548,2
31,56,0.07210286018973762,25
30,7,0.15039938217366075,4
29,9,0.05982961585406725,3
28,4,0.046821982424946396,1
27,12,0.13101661268014103,7
26,7,,
25,67,,
23,3,,
18,1,,
16,1,,
