Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
56,46,,
55,145,0.11098772727272728,132
54,80,0.09878443389980139,46
53,36,0.11644608196468267,13
52,26,0.07106349147929313,8
51,114,0.0935495175644782,73
50,89,0.11738684889611513,66
49,131,0.1657977881021753,122
48,161,0.1041496644071751,121
47,209,0.15974218332263743,150
46,178,0.11085566707808124,42
45,44,0.1342653571483708,9
44,1344,0.08671615062333339,3
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.12567317429856692,4
36,28,,
35,2,,
34,13,0.06520985111091364,12
33,16,0.15344846915694574,15
32,13,0.11602272945977773,4
31,51,0.10296128188892231,22
30,10,0.282,4
29,9,0.0973378282036327,3
28,4,0.011274897743295237,1
27,13,0.08995877279415061,8
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
