Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
58,65,0.2646548510093935,64
57,164,0.40092787663567797,154
56,95,0.4894445053360212,56
55,59,0.114184761096306,27
54,30,0.0950053558550202,13
53,143,0.20628302487305444,94
52,136,24592166.275094345,113
51,218,0.4059789040914362,192
50,202,0.2069042662963375,152
49,259,0.28432488403207723,184
48,206,0.23617427979751854,49
47,54,0.16459588765414312,14
46,1376,0.2482486591165145,4
45,12,,
44,677,12.506507684748186,1
43.0,4.0,,
42.0,1.0,,
41.0,3.0,,
40.0,1.0,,
39,9,3.2494247125522393,6
38,33,,
37,2,,
36,17,1.6613198205373394,14
35,23,0.6608999020449087,17
34,14,0.9757208974443589,4
33,60,0.5106021115529552,31
32,9,0.6161175258170684,6
31,16,112.85163747356454,4
30,10,1.0160696068253192,2
29,19,1.3795940305828154,9
28,12,,
27,83,,
26,3,,
25,6,,
21.0,1.0,,
20.0,3.0,,
18.0,1.0,,
