Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
56,52,0.1546748760129611,51
55,150,0.11750358143424841,142
54,67,0.09036069889837935,43
53,37,0.08479265823587627,11
52,28,0.08098165977422797,8
51,119,0.08842947675544405,78
50,82,0.10219893884390394,64
49,137,0.11979728669152667,126
48,149,0.09699589405679969,113
47,206,0.09599427389227624,139
46,190,0.10449633197068153,43
45,43,0.12639485196260727,9
44,1343,0.05057321541992098,2
43,12,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,0.08928840253395622,3
36,29,,
35,3,,
34,12,,
33,16,0.10916815612256975,15
32,13,0.039540179278007896,4
31,54,0.06130471831771864,25
30,7,0.164325727120664,4
29,9,0.07021929191906161,3
28,4,0.00015353512628332733,1
27,13,0.0863623132249176,8
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
