Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
56,48,,
55,152,0.10429012462080844,141
54,70,0.09898665258978608,45
53,38,0.11960444445819848,14
52,25,0.07624730143684069,8
51,122,0.07980040920605531,81
50,81,0.11770588221015732,66
49,130,0.10893175454047475,121
48,153,0.09640640843185602,112
47,211,0.08494668787887405,143
46,182,0.0929300476706566,39
45,48,0.11575294652107017,10
44,1343,0.06260453275986075,3
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.027425569953266227,1
37,7,0.10090312230040421,4
36,28,,
35,3,,
34,11,,
33,17,0.09218040642846989,15
32,12,0.032294551816525206,3
31,54,0.06960238018880334,24
30,8,0.17024959590724695,4
29,9,0.07344375172928998,3
28,4,0.02641692048803422,1
27,13,0.08497268151243499,8
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
