Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
56,53,0.17748653846153847,52
55,144,0.10658029197080292,137
54,78,0.07126591836734694,49
53,36,0.15539375,16
52,23,0.07825,8
51,111,0.07380857142857143,70
50,90,0.161234062453125,64
49,131,0.14469916666666666,120
48,158,0.10295318965517242,116
47,211,0.09079102040816327,147
46,179,0.08994,40
45,46,0.1797777777777778,9
44,1344,0.1418,3
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.306,1
37,7,0.055775000000000005,4
36,28,,
35,3,,
34,12,,
33,16,0.17550666666666667,15
32,13,0.08915,4
31,54,0.1191108,25
30,7,0.112075,4
29,8,0.07085000000000002,2
28,5,0.22,1
27,12,0.05875714285714285,7
26,7,,
25,67,,
23,3,,
19,1,,
16,1,,
