Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
56,55,0.1333,53
55,143,0.10317884448843251,137
54,71,0.09723392479562727,42
53,40,0.10318088333063574,13
52,25,0.07229915334983085,7
51,116,0.09437488498281779,74
50,89,0.12211079794627024,67
49,138,0.16036863373642873,130
48,145,0.09997564624875577,113
47,215,0.16332838265294763,148
46,177,0.11723010027921978,39
45,48,0.122,10
44,1342,0.12578548458046757,2
43,12,,
42,675,,
41,4,,
39,3,0.01899999999999999,2
38,2,0.13798236733908073,1
37,7,0.1255156051213631,4
36,28,,
35,2,,
34,12,0.06800402783397036,11
33,17,0.1661444660257994,15
32,12,0.13191861349329523,3
31,55,0.09605700656569208,25
30,6,0.22215524806997336,3
29,10,0.09738851194867605,3
28,4,0.011426816874832657,1
27,13,0.08984486640452233,8
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
