Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
56,47,,
55,150,0.1279694898322373,138
54,78,0.15575437141809323,50
53,34,0.1347218290146216,15
52,25,0.12048704463469614,9
51,115,0.10501567798302155,75
50,88,0.20846652793340276,67
49,130,0.14560030700279084,122
48,152,0.13382494466808487,112
47,217,0.1017199179462845,149
46,178,0.09216019238160436,41
45,44,0.11270849162608042,8
44,1345,0.16104873723939572,3
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
37,8,0.14348027739765323,4
36,28,,
35,3,,
34,11,,
33,15,0.15913350753424763,13
32,15,0.07732556510087114,4
31,51,0.09196421156319726,22
30,10,0.17551744529592622,4
29,9,0.2700012037141211,3
28,4,0.02953415516132271,1
27,11,0.06673776656411458,6
26,8,,
25,67,,
23,3,,
19,1,,
16,1,,
