Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
56,53,,
55,143,0.1059825401459854,137
54,70,0.1006389756097561,41
53,42,0.09445285714285714,14
52,27,0.0963586,10
51,121,0.09639188487804878,82
50,76,0.13228537811290322,62
49,140,0.14684302046299214,127
48,148,0.12979269519893805,113
47,212,0.12931170844,145
46,179,0.12884354558522104,38
45,49,0.13014446557552,10
44,1343,0.13120605324853335,3
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.060112,1
37,7,0.0715095374272,4
36,28,,
35,3,,
34,11,,
33,14,0.1451252450496,12
32,16,0.0560140649216,4
31,51,0.09842018500189091,22
30,10,0.21347372000000003,4
29,9,0.08224799999999999,3
28,4,0.10035807999999999,1
27,13,0.06828241554944,8
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
