Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
56,45,,
55,154,0.1230485844984549,140
54,72,0.13555034763456106,46
53,38,0.16073834214029573,15
52,25,0.1553023890695559,9
51,119,0.1698188177972176,79
50,79,0.3512576395639942,62
49,140,0.16840515907577566,127
48,146,0.1744832358472926,111
47,215,0.17366579122561146,146
46,184,0.15407181495193445,44
45,43,0.13745461379091162,10
44,1341,0.15321835457985622,1
43,13,,
42,675,,
41,4,,
39,4,0.052182828485243964,3
38,1,,
37,7,0.08414926240483726,4
36,28,,
35,3,,
34,12,,
33,15,0.17132912562474983,14
32,14,0.10154974177473312,4
31,51,0.09215108315702879,22
30,10,0.22091790968434188,4
29,8,0.22892750885055005,2
28,5,0.03685977317681177,1
27,11,0.08130846814413076,6
26,8,,
25,67,,
23,3,,
19,1,,
16,1,,
