Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
56,53,,
55,142,0.31188859209649755,136
54,79,1.6194359981714668,49
53,35,1.1890979021710033,15
52,26,0.15007622797489165,10
51,116,0.162263969862882,77
50,81,178523.97748063522,62
49,138,535.4085742118167,125
48,149,4.505364514332774,112
47,211,364.8408657452028,143
46,184,161.26702837640696,41
45,45,111.45240769484931,9
44,1344,80.97539322986536,3
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,35.300249370819074,4
36,28,,
35,2,,
34,10,25.80691891050649,9
33,18,21.364188123983563,14
32,13,62.29894724487031,3
31,54,21.712889491532973,24
30,7,36.195938285970676,3
29,10,136.2110079916679,3
28,4,424.98149318969564,1
27,13,30.685116495979262,8
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
