Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
56,51,0.24565394116987854,49
55,152,0.10912027731518616,142
54,71,0.10675587085456621,47
53,36,0.1024403669159344,14
52,26,0.07310521207422672,9
51,119,0.07747662923477651,79
50,80,0.09723769838780229,63
49,140,0.12520397188744015,128
48,148,0.11545062058507335,114
47,204,0.08648564909478616,138
46,190,0.11459842254220061,42
45,45,0.1157815095476696,10
44,1343,0.09214308395481696,3
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.047804178928717765,4
36,28,,
35,1,,
34,12,0.07953067817191779,10
33,15,0.0882768163723391,12
32,16,0.046575911505329554,4
31,54,0.07179164451159026,25
30,7,0.16020983478331322,4
29,8,0.050551776414639094,2
28,4,,
27,14,0.0839980892367706,8
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
