Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
56,53,,
55,141,0.11689586359433876,135
54,80,0.08809512572995756,49
53,35,0.08785796425921043,15
52,25,0.07050149906562717,9
51,108,0.08342472399786191,68
50,90,0.09841831474797312,62
49,143,0.11456794205198009,130
48,144,0.1024392431485792,112
47,210,0.0898037618703821,142
46,184,0.10947648781293975,40
45,46,0.11347059981188093,9
44,1344,0.08520929844844946,3
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.09083974857893098,4
36,28,,
35,3,,
34,13,,
33,15,,
32,13,0.040602096864954654,4
31,55,0.06029586258782456,26
30,6,0.15945545694369426,4
29,8,0.05292172795285045,2
28,5,0.004103667567768143,1
27,12,0.10116715493021802,7
26,7,,
25,67,,
23,3,,
19,1,,
16,1,,
