Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
56,51,,
55,149,0.12215265594038999,141
54,68,0.09103062726774476,43
53,40,0.09486536051639297,14
52,24,0.07759642135351205,7
51,120,0.08037864740892453,78
50,81,0.09308914205102108,63
49,133,0.11118889783645573,121
48,155,0.10456911859733074,114
47,214,0.08327881694619245,148
46,180,0.10458208073178649,42
45,43,0.10151561179540798,8
44,1345,0.11189577381544707,3
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.09396200450070778,4
36,28,,
35,3,,
34,10,,
33,17,0.09540859818246317,14
32,14,0.031998222582836244,4
31,53,0.05450530327921066,24
30,7,0.19505473229599068,3
29,10,0.06256384563343809,3
28,4,0.1488984709569761,1
27,13,0.0798981531984576,8
26,6,,
25,67,,
23,3,,
18,1,,
16,1,,
