Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
56,51,0.16339795292676598,50
55,147,0.10915669097192776,138
54,75,0.09086457374716721,47
53,36,0.11670148115764721,14
52,26,0.06907090669868082,9
51,120,0.08116269262797278,80
50,84,0.10301532787406673,68
49,133,0.11249064464157396,126
48,148,0.10116573469824125,112
47,209,0.08573629552672152,141
46,184,0.10093379481162433,39
45,47,0.1158315991261951,9
44,1343,0.09570894245124038,2
43,12,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.09360667828470397,4
36,28,,
35,3,,
34,8,,
33,18,0.07095077192645755,13
32,15,0.035854868570807386,4
31,54,0.06637961373302152,25
30,6,0.18714059390690183,3
29,10,0.05751464857643291,3
28,4,0.02837275586727922,1
27,13,0.09266373103162479,8
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
