Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
56,52,0.24629995207270186,51
55,151,0.21235389167645463,143
54,69,1.6856755420028207,46
53,37,0.20673093366143958,14
52,27,0.2649544401604682,10
51,114,0.13011360446860393,75
50,90,150643718.61615655,69
49,132,240.97545869651424,126
48,143,20.2797265526729,107
47,217,3.2986072574225824,144
46,181,559.4503971763762,39
45,48,5.135093665200963,10
44,1342,7.578965149767624,2
43,12,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,5,1.3445596068894892,2
36,30,,
35,3,,
34,12,,
33,11,1.5911269253770473,10
32,18,2.234715086749182,4
31,54,2.023406298515128,25
30,7,2.050032754131668,4
29,9,2.412501989288781,3
28,4,2.53310870526978,1
27,12,2.492697804120294,7
26,7,,
25,67,,
23,3,,
19,1,,
16,1,,
