Iteration,SampleCount,P_PERIASTRON,P_PERIASTRON_Weight
56,51,,
55,145,0.1083339189245614,140
54,73,0.07993923242182639,55
53,38,0.07151837182235732,30
52,26,0.04907124941799287,23
51,115,0.053525461067343974,113
50,88,0.8971458929023803,76
49,131,0.5750574011346343,125
48,150,0.4129250055384384,133
47,206,0.48546287721655956,190
46,170,0.28921944464315796,145
45,63,0.44055657090671535,37
44,1217,0.2362638784700243,1213
43,138,0.25583820389499606,8
42,621,0.1358119666003481,618
41,61,1.0140425499999999,4
40,1,,
39,3,,
38,1,,
37,7,0.0979098017685516,5
36,28,,
35,3,,
34,13,,
33,13,,
32,14,0.31366625034841444,9
31,53,0.4585809631706671,23
30,8,0.14194550244147164,4
29,7,0.41615669199195315,6
28,7,1.45135,4
27,13,,
26,5,,
25,62,1.3111025970766739,61
24,6,,
23,1,,
22,2,,
19,1,,
16,1,,
