Iteration,SampleCount,P_PERIASTRON,P_PERIASTRON_Weight
56,49,0.08215531270833334,48
55,148,0.29391544874285713,140
54,74,0.20289163792782014,56
53,34,0.19688402651376463,27
52,30,0.20271764253068736,24
51,114,0.2222852226148437,113
50,85,0.5456151894916289,73
49,127,0.21895802265647568,118
48,160,0.23698174692021545,136
47,196,0.2566599753462943,183
46,193,0.25088056363485545,161
45,47,0.2983774615204019,37
44,1218,0.2040294979333662,1214
43,139,0.31671076216151084,10
42,615,0.22668711403501876,614
41,63,0.2157494725920607,2
40,3,0.39445154023431417,1
39,2,,
38,2,0.34608440102738297,1
37,7,0.26450605249508946,5
36,28,,
35,3,,
34,12,,
33,16,0.25544886512276255,15
32,13,0.23834033957427245,10
31,54,0.23603083800013197,25
30,7,0.2190400681234879,5
29,9,,
28,3,,
27,13,0.3387733559186147,12
26,6,0.8938870013400461,5
25,61,0.4241850622282639,60
24,7,,
23,3,,
19,1,,
16,1,,
