Iteration,SampleCount,P_PERIASTRON,P_PERIASTRON_Weight
56,51,0.0948731302,50
55,149,0.10142574958916084,143
54,70,0.07303197954079822,55
53,37,0.06916779949758392,29
52,26,0.054845313265406134,22
51,121,0.052281272073257265,118
50,81,0.887701173555502,74
49,130,0.5752459158568715,122
48,157,0.4318330191527912,137
47,205,0.46409367875111757,193
46,170,0.28772327687179394,148
45,60,0.4088340720637597,37
44,1208,0.22738635509364186,1204
43,149,0.23389650328959274,10
42,621,0.13417772269995054,620
41,58,1.3482418966514351,3
40,1,,
39,2,0.15323760388131027,1
38,3,0.180219982310913,1
37,5,0.12137845631142424,3
36,30,,
35,3,,
34,12,,
33,14,1.064410651557432,13
32,15,0.5669417278668076,10
31,53,0.5230977733724577,24
30,7,0.32646125,4
29,7,0.1170395040065305,6
28,7,1.45135,4
27,11,,
26,8,2.283111045053703,6
25,61,,
24,6,,
23,3,,
19,1,,
16,1,,
