Iteration,SampleCount,P_PERIASTRON,P_PERIASTRON_Weight
56,50,0.07969389918367348,49
55,152,0.2935570674758621,145
54,66,0.2603936070259758,53
53,40,0.28426793196720707,30
52,25,0.24021852591448897,22
51,114,0.27528152724107924,111
50,84,0.5962576552658825,70
49,137,0.24990925628253266,125
48,152,0.2673854568746521,135
47,211,0.2680847601141495,197
46,173,0.27381152293134875,155
45,53,0.33346121910533916,37
44,1219,0.2612669282237235,1215
43,138,0.30758284485853266,10
42,604,0.27758263286817714,603
41,76,0.3863514562660315,4
40,1,,
39,3,,
38,1,,
37,7,0.2382241303284566,5
36,28,,
35,3,,
34,9,,
33,19,0.30912586121806235,15
32,12,0.21709368078153038,9
31,54,0.20474378625738393,24
30,8,0.20797648531529264,5
29,9,,
28,4,,
27,11,,
26,7,1.0795941955117,5
25,60,0.3130066125412048,59
24,8,,
23,3,,
19,1,,
16,1,,
