Iteration,SampleCount,P_PERIASTRON,P_PERIASTRON_Weight
56,52,,
55,143,0.16872047264131526,139
54,73,0.1288234459815184,54
53,38,0.176026753148282,29
52,28,0.11662477245439876,24
51,114,0.0960564930905797,113
50,84,0.7220161910096586,72
49,136,0.18164679278589602,126
48,146,0.20798162677841298,130
47,198,0.12698443539633059,179
46,188,0.0714133704660436,152
45,57,0.13708782516357765,38
44,1215,0.09818450547828016,1212
43,141,0.11104477172226662,10
42,619,0.0789320771788483,618
41,61,0.5274028904973159,4
40,1,,
39,1,,
38,3,0.032060524634526036,1
37,6,0.44685151042964577,4
36,29,,
35,3,,
34,12,,
33,17,0.19014980241788337,16
32,11,0.2847514985039998,9
31,55,0.10908534610262036,25
30,7,0.20365102254021744,5
29,6,,
28,7,0.31850557948286917,4
27,13,,
26,6,,
25,65,,
24,2,,
23,3,,
19,1,,
16,1,,
