Iteration,SampleCount,P_PERIASTRON,P_PERIASTRON_Weight
56,50,,
55,150,0.3990789897766588,144
54,70,0.36122323623050456,56
53,35,0.3787816540897585,28
52,27,0.3588400028621845,22
51,116,0.35801992409012023,113
50,87,0.5404817710751626,75
49,136,0.26260303109449734,129
48,147,0.2936441926897528,134
47,208,0.2689576269985987,193
46,169,0.3085189987622838,147
45,61,0.3303644285397916,37
44,1208,0.28656197891408497,1204
43,149,0.336965372437684,10
42,618,0.3017754377164356,617
41,62,0.4953817945091117,4
40,1,,
39,2,,
38,2,0.12871793962267616,1
37,7,0.3231813512039365,5
36,28,,
35,3,,
34,13,,
33,15,,
32,10,0.31297249650589304,7
31,56,0.24642115422520788,24
30,7,0.14944968933759162,4
29,9,0.3050897325112943,8
28,5,0.5449380959579221,4
27,11,,
26,8,0.9862826294514618,6
25,56,,
24,11,,
23,3,,
19,1,,
16,1,,
