Iteration,SampleCount,P_PERIASTRON,P_PERIASTRON_Weight
56,54,0.10265585961538462,52
55,148,0.42323571035515617,144
54,70,0.3504094996174561,56
53,39,0.38255722854510127,32
52,26,0.37405799631995723,25
51,108,,
50,90,0.48978149212606853,73
49,139,0.32983354611795074,130
48,140,0.311072990627264,128
47,215,0.29759655120525025,194
46,175,0.32231936993674115,154
45,54,0.36383391109075636,37
44,1220,0.328727315462533,1216
43,137,0.3486121778656849,10
42,599,0.34609607281621096,598
41,81,0.42372729050874325,4
40,1,,
39,3,,
38,1,,
37,6,0.26162828454772075,4
36,29,,
35,3,,
34,10,,
33,17,0.3198787886373022,14
32,12,0.24416531010403708,8
31,56,0.2153613240131815,25
30,7,0.18413762184875374,5
29,9,,
28,4,,
27,11,,
26,8,0.9351273603189004,6
25,60,,
24,7,,
23,3,,
19,1,,
16,1,,
