Iteration,SampleCount,P_PERIASTRON,P_PERIASTRON_Weight
56,51,,
55,144,0.052079631883801804,139
54,75,0.02855938915086982,56
53,33,0.02408828888766632,26
52,29,0.01849047897899921,22
51,115,0.01615467491147342,112
50,89,0.24761821310400814,76
49,132,0.12740559551276234,126
48,149,0.07854932803602967,133
47,211,0.08352713949427118,195
46,179,0.041623551073397644,159
45,50,0.05839369973596244,38
44,1206,0.03587699260075595,1203
43,151,0.05892911313565301,11
42,608,,
41,71,0.15287554349723131,4
40,1,,
39,3,,
38,1,,
37,7,0.05316028736653696,5
36,28,,
35,3,,
34,9,,
33,20,0.1323535458027486,16
32,11,0.059034164684966944,9
31,55,0.08554782410976272,25
30,6,0.13608334841575823,4
29,7,0.06728861317573422,6
28,6,0.09297478543596337,3
27,13,0.10266453163648095,12
26,6,0.4361615920630226,5
25,64,0.24859057016981811,63
24,4,,
23,2,,
22,1,,
19,1,,
16,1,,
