Iteration,SampleCount,P_PERIASTRON,P_PERIASTRON_Weight
56,49,,
55,154,0.07206216083550483,147
54,72,0.052749651569215183,61
53,31,0.07297842127075259,29
52,26,0.06319449770442424,22
51,118,0.04036955825821176,115
50,84,0.24409645181572412,74
49,133,0.11049902978190143,125
48,151,0.06676578470734598,134
47,201,0.06557419342719459,186
46,189,0.03671262516180529,160
45,51,0.05244180544495495,40
44,1206,0.03889519366541963,1205
43,149,0.04729595906051071,11
42,603,,
41,75,0.132266201272704,3
40,2,0.005265592663698398,1
39,3,,
38,1,,
37,6,0.33970533445694034,4
36,29,,
35,3,,
34,9,,
33,19,0.1427777887924387,15
32,12,0.07588011629378641,9
31,55,0.05805436204834798,25
30,6,0.02533048932746068,4
29,9,0.09329865180853907,8
28,4,0.2804699953763236,3
27,12,0.1334800560182159,11
26,6,0.8333805791977332,4
25,62,0.19599028938248408,60
24,7,,
23,2,,
22,1,,
19,1,,
16,1,,
