Iteration,SampleCount,P_PERIASTRON,P_PERIASTRON_Weight
56,47,,
55,154,0.05218850700231583,145
54,68,0.0300865770206292,55
53,36,0.034778685560919564,28
52,27,0.020451083207909244,22
51,120,0.01914952236487167,117
50,81,0.36254011221628146,73
49,139,0.11745760706699958,130
48,146,0.07632753653524575,134
47,213,0.0840441397536152,198
46,166,0.04394261955766653,149
45,62,0.06498754526187334,40
44,1205,0.035384312590765514,1204
43,147,0.07075679001982994,8
42,608,0.02186310587647211,605
41,74,0.15595553575302007,4
39,4,0.0387848144456955,3
37,7,0.06270645072704042,4
36,29,,
35,3,,
34,11,,
33,17,0.14239048142914318,15
32,12,0.06514336537374188,9
31,54,0.08402963256721131,24
30,6,0.025452844843837637,3
29,9,0.05096811400043307,7
28,5,0.09303204043559758,3
27,14,0.087197596090691,13
26,6,,
25,64,,
24,3,,
23,2,,
22,1,,
19,1,,
16,1,,
