Iteration,SampleCount,P_PERIASTRON,P_PERIASTRON_Weight
56,50,0.10301867099756937,49
55,152,0.029691756529626273,145
54,71,0.09591399223738865,58
53,35,0.005768664623601804,30
52,22,0.00875357719725326,19
51,114,0.0433657448555233,108
50,88,3027118.249247333,71
49,145,0.35881519689169894,134
48,145,0.17480778453576434,137
47,206,1.2901629091498188,194
46,171,0.4961852465185675,150
45,59,1.2943244740046445,38
44,1231,1.497222973624392,1228
43,125,0.23732950887034018,10
42,580,0.020859570537769944,579
41,100,0.5340488908194441,4
40,1,,
39,3,,
38,1,,
37,7,0.049521625163463444,5
36,28,,
35,3,,
34,12,,
33,15,0.44051359645104643,14
32,14,0.8792875598036329,10
31,53,0.0854685151098195,24
30,7,0.1479814386134164,4
29,10,0.22825988663332067,9
28,4,,
27,13,,
26,6,,
25,61,,
24,6,,
23,3,,
19,1,,
16,1,,
