Iteration,SampleCount,P_PERIASTRON,P_PERIASTRON_Weight
56,50,,
55,150,0.40360793196213,144
54,72,0.33667329098159676,58
53,36,0.3396906203080999,31
52,22,0.3316469298265427,20
51,114,0.3392095395488984,109
50,91,0.4975646767297181,75
49,137,0.26836854479683825,130
48,143,0.24917670458084204,131
47,221,0.2566360435343871,203
46,163,0.3012407824041663,151
45,59,0.3351836811536907,39
44,1207,0.29203289118874476,1205
43,147,0.33622620363818856,9
42,605,0.3243034039821541,603
41,76,0.4812401228380439,4
40,1,,
39,1,,
38,3,0.17231985397927604,1
37,7,0.3362546823379947,5
36,28,,
35,3,,
34,11,,
33,15,0.18442199474518198,13
32,15,0.2880040664297814,10
31,55,0.236629251895795,26
30,5,0.2471819512130894,4
29,9,0.25894222352625823,8
28,4,0.44041878638316306,3
27,13,0.3382570275758062,12
26,7,1.051570922153934,6
25,57,,
24,10,,
23,3,,
19,1,,
16,1,,
