Iteration,SampleCount,P_PERIASTRON,P_PERIASTRON_Weight
56,51,,
55,156,1.4979164891535626e-15,151
54,62,0.005130112345436543,55
53,35,0.0012878914185187598,27
52,27,0.045356206472414645,21
51,115,0.17169866750687837,111
50,87,0.03907450434259357,73
49,140,0.22563759399414052,131
48,149,1.287456551009939,138
47,203,2.3261597002267824,192
46,177,0.5159154967649611,154
45,56,0.4146808018919849,39
44,1204,1.0934317123929762,1202
43,149,0.7356475177315369,8
42,604,0.9495931264129922,601
41,78,0.8428209649291617,4
40,1,,
39,3,,
38,1,,
37,6,0.2701049920368776,4
36,29,,
35,3,,
34,13,,
33,15,,
32,12,0.40989093179224356,9
31,55,0.34442570776422543,25
30,7,0.4170357239201471,5
29,8,,
28,5,0.6325511223819736,4
27,13,,
26,5,,
25,59,1.4758105119734515,58
24,9,,
23,1,,
22,2,,
19,1,,
16,1,,
