Iteration,SampleCount,P_PERIASTRON,P_PERIASTRON_Weight
56,53,,
55,148,0.4214376903038118,145
54,67,0.36188500424455183,54
53,40,0.39009704594309363,31
52,24,0.3775957408375052,22
51,106,0.37446790610556,103
50,99,0.5291393922929022,77
49,133,0.3319706203251672,128
48,148,0.30404325937859633,134
47,212,0.29185394404568255,197
46,167,0.31894019471598767,149
45,61,0.36448524673331895,39
44,1203,0.3264794163330727,1201
43,153,0.32555001142192025,11
42,614,,
41,63,0.41914884274165815,2
40,3,0.403012113915356,1
39,2,,
38,2,0.3758574916620432,1
37,7,0.27542134003070595,5
36,28,,
35,3,,
34,12,,
33,15,0.28949161966017417,14
32,14,0.2618747005963591,10
31,54,0.20174733628137595,25
30,6,0.23183215654571684,4
29,10,0.30272848149043213,9
28,4,,
27,10,,
26,8,1.050695303805782,5
25,59,0.30757750725124766,58
24,9,,
23,3,,
19,1,,
16,1,,
