Iteration,SampleCount,P_PERIASTRON,P_PERIASTRON_Weight
56,54,0.0961116136981132,53
55,140,0.08893062254311519,137
54,78,0.0746830993415666,57
53,36,0.06434684722607811,30
52,28,0.04899419710936927,25
51,114,,
50,86,0.9106435522128985,75
49,141,0.6027045568305275,134
48,139,0.43065443613745563,131
47,204,0.4893282406168817,186
46,180,0.30023535131749896,151
45,60,0.42927833462649573,40
44,1202,0.23869693573095013,1201
43,153,0.2617639553216093,11
42,608,,
41,71,1.0140425499999999,4
40,1,,
39,3,,
38,1,,
37,7,0.09929290872665947,5
36,28,,
35,3,,
34,11,,
33,17,1.012709707961304,15
32,12,0.44171858296199684,9
31,55,0.380267320680399,25
30,7,0.3002466211441355,5
29,9,,
28,4,,
27,12,,
26,5,2.6374214182201183,4
25,62,1.3280905503258849,60
24,7,,
23,3,,
19,1,,
16,1,,
