Iteration,SampleCount,P_PERIASTRON,P_PERIASTRON_Weight
56,53,0.10694312923076923,52
55,148,0.4060941349798751,144
54,66,0.33307667859431533,52
53,42,0.3572540800713034,31
52,25,0.34527522481525974,23
51,115,0.3533846309983011,113
50,85,0.5181837513833523,73
49,136,0.2586493201334208,127
48,147,0.2648369466508363,132
47,210,0.26588041439052973,193
46,177,0.31979870579980496,155
45,53,0.3393964446920163,37
44,1204,0.3047407021693727,1200
43,154,0.3387661103833608,11
42,612,,
41,66,0.5851416182060548,3
40,2,0.3245547061008464,1
39,3,,
38,1,,
37,5,0.2995309889980779,3
36,30,,
35,3,,
34,13,,
33,16,,
32,9,0.2883546876352635,7
31,57,0.21553528134184533,25
30,5,0.2544394854658713,3
29,10,0.3054478982062209,8
28,5,0.5325220309917981,4
27,12,,
26,7,1.013041147199088,6
25,61,,
24,6,,
23,3,,
19,1,,
16,1,,
