Iteration,SampleCount,P_PERIASTRON,P_PERIASTRON_Weight
56,50,,
55,147,0.39977273812727626,141
54,73,0.34338390241436684,56
53,37,0.3450558273867818,30
52,24,0.33549348757731834,21
51,117,0.34057980044783737,113
50,86,0.5043547524518772,74
49,135,0.2567218414377358,127
48,151,0.27317050782346264,136
47,206,0.2601282955094791,193
46,169,0.2903830964267466,147
45,63,0.30957227623143296,39
44,1215,0.2788413788048142,1213
43,141,0.3240854198957586,11
42,610,,
41,67,0.48904478243062777,2
40,3,0.3395496939328064,1
39,2,,
38,2,0.1801680645861624,1
37,7,0.3186496927508634,5
36,28,,
35,3,,
34,10,,
33,15,0.2206652849067986,12
32,15,0.28899257746802287,9
31,55,0.23840679754654362,25
30,7,0.14132829695021695,5
29,8,,
28,4,0.6318403153453008,3
27,12,0.3377562108615411,11
26,7,0.9196245317095696,5
25,61,0.37902207913485847,60
24,7,,
23,3,,
19,1,,
16,1,,
