Iteration,SampleCount,P_PERIASTRON,P_PERIASTRON_Weight
56,47,0.10447721975723505,46
55,149,0.02647608981530627,139
54,77,0.015091312762657362,58
53,37,0.016331256341066133,32
52,23,0.01047962242294054,22
51,115,0.03747963541033767,112
50,87,620801.5461788813,74
49,144,0.011963961361463911,136
48,141,0.03210075934212847,135
47,207,0.08518123250250206,193
46,173,20.4083797955478,151
45,56,16.817253475256475,36
44,1215,21.26226371849547,1210
43,144,27.392196797635794,11
42,598,,
41,79,2.13709218267295,2
40,3,0.21585159683011282,1
39,3,,
38,1,,
37,7,14.835090006476394,5
36,28,,
35,3,,
34,12,,
33,16,1.7014105559866082,15
32,11,9.725934964849841,8
31,57,12.451597937253908,26
30,6,3.165662910092432,5
29,8,,
28,5,5.028188109354966,4
27,11,,
26,7,7.441565921433292,5
25,63,10.148202261866127,62
24,5,,
23,3,,
19,1,,
16,1,,
