Iteration,SampleCount,P_PERIASTRON,P_PERIASTRON_Weight
56,53,,
55,148,0.1312947012950223,145
54,72,0.1142512030627811,59
53,33,0.13968462142092677,29
52,26,0.1759624794267178,22
51,116,0.12759519202075156,113
50,86,0.3155498601780962,74
49,139,0.21975491567767777,131
48,144,0.13920122600319362,133
47,204,0.15284778644775382,188
46,181,0.1295071306831213,154
45,53,0.159669072432904,36
44,1208,0.08768904292847125,1203
43,150,0.05182115085498145,10
42,606,0.06532601413112703,605
41,74,0.42851768999963913,4
40,1,,
39,2,,
38,2,0.12535107464620882,1
37,7,0.13229690120721485,5
36,28,,
35,3,,
34,12,,
33,17,0.18843512666649725,16
32,12,0.10212989531451344,10
31,51,0.1223200179857261,22
30,10,0.1689005878921671,5
29,9,,
28,4,,
27,9,,
26,9,0.5761574716991749,5
25,61,0.36808996327012644,60
24,7,,
23,3,,
19,1,,
16,1,,
