Iteration,SampleCount,S_HZ_CON_MAX,S_HZ_CON_MAX_Weight
58,66,2.241685615568899,64
57,159,2.1054723623049463,152
56,103,2.005896905548518,76
55,52,1.796890854227724,47
54,30,2.021972210608264,26
53,146,2.5850501693364456,141
52,140,2834.491672672152,129
51,214,597.2694232298296,198
50,204,3.4076522755621057,185
49,257,3.8792628566069522,240
48,197,2.113718433567257,171
47,60,1.952926084934072,44
46,1242,2.284785720926546,1237
45,150,1.3515322482439573,12
44,605,,
43,74,3.6133214157821603,2
42,3,,
41.0,3.0,,
40.0,1.0,,
39,10,2.0223900145054268,2
38.0,31.0,,
37,4,,
36,17,,
35,22,,
34,14,2.6697325586542173,2
33,57,1.5290584984751614,24
32,12,,
31,16,,
30,11,,
29,18,,
28,12,,
27,83,,
26,3,,
25,6,,
21.0,1.0,,
20.0,3.0,,
18.0,1.0,,
