Iteration,SampleCount,S_METALLICITY,S_METALLICITY_Weight
56,46,0.12330114883673587,45
55,152,0.14268556322795856,140
54,71,0.12150263096506848,50
53,36,0.10799179877340731,23
52,28,0.24964144976604294,18
51,118,0.15409114022494522,103
50,87,0.18179192691260027,71
49,133,0.163968114815749,127
48,155,0.18505863102362005,113
47,203,0.15809960201880868,194
46,174,0.12935831476075918,125
45,55,0.13408257913176339,24
44,1222,0.0863225198971375,1178
43,135,0.289950184226293,2
42,675,0.1479265403532052,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.17721536541144706,2
36,28,,
35,3,0.1715433650757068,1
34,13,0.14345314286163002,4
33,13,0.15649479698672786,8
32,15,0.3794739062347882,1
31,55,0.18230288140124684,4
30,6,0.22908917228196873,2
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
