Iteration,SampleCount,S_METALLICITY,S_METALLICITY_Weight
56,51,0.1339048845032269,50
55,147,0.14233858912635744,140
54,75,0.12807996397553878,54
53,34,0.12258144846909104,25
52,26,0.2264686242159533,18
51,123,0.15081301687341803,108
50,79,0.1794294721116882,68
49,141,0.16610756893145975,132
48,153,0.18020883049466632,116
47,197,0.16320847460698318,191
46,179,0.1329164217108524,127
45,53,0.12855431696056424,24
44,1200,0.0712263754894952,1156
43,157,0.3518561716703076,2
42,675,0.14592729222195702,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.24423653748887958,2
36,28,,
35,3,0.2476116763206249,1
34,12,0.1226772079170143,3
33,16,0.11781499538327955,10
32,13,0.21179422671202533,1
31,56,0.223182239935776,5
30,5,0.2293505936945054,2
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
