Iteration,SampleCount,S_METALLICITY,S_METALLICITY_Weight
56,50,,
55,157,0.16678,150
54,67,0.20889285714285713,56
53,33,0.15826923076923077,26
52,27,0.23155,20
51,107,0.17607446808510638,94
50,95,0.19717142814285712,70
49,133,0.19232539682539682,126
48,151,0.23125925925925925,108
47,202,0.20256914877659574,188
46,181,0.15884126976190477,126
45,53,0.20865217391304347,23
44,1219,0.15087052811754684,1174
43,139,0.22499999999999998,2
42,675,0.07999999999999996,1
41,4,,
40,1,,
39,3,,
38,1,,
37,6,0.11900000000000001,1
36,29,,
35,2,,
34,14,0.22249999999999998,4
33,14,0.17833333444444444,9
32,14,0.31999999999999995,1
31,55,0.4225,4
30,6,0.3499999999999999,2
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
