Iteration,SampleCount,S_METALLICITY,S_METALLICITY_Weight
56,49,,
55,148,0.1464211323799176,140
54,76,0.12498763058743731,55
53,33,0.10326365556945437,25
52,27,0.2466026780386104,19
51,107,0.19831657622439086,93
50,93,0.20388505026751402,67
49,140,0.17652734525053013,130
48,145,0.17473544561517987,106
47,207,0.17136608789840949,191
46,184,0.1422744360963444,132
45,47,0.14731271385806433,23
44,1224,0.07825323081207763,1179
43,133,0.2639378077416038,1
42,676,0.23088943306519255,1
41,4,,
40,1,,
39,3,,
38,1,,
37,6,0.35263422256327637,1
36,29,,
35,3,0.37188561577318724,1
34,13,0.08570842313186204,4
33,15,0.1817557796154215,10
32,13,0.17446557521347986,1
31,56,0.25414142442644494,5
30,5,0.1937221193802646,2
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
