Iteration,SampleCount,S_METALLICITY,S_METALLICITY_Weight
56,50,,
55,140,0.14163422859968466,133
54,86,0.1324398629153544,58
53,31,0.11736762329548846,26
52,27,0.2337433815640188,20
51,110,0.19706761523575209,97
50,92,0.16376076280166527,70
49,129,0.18737881763176434,122
48,159,0.1755898260447004,112
47,204,0.17390778667935933,194
46,171,0.1497724003635124,122
45,58,0.15142517215984774,24
44,1225,0.07686911543401907,1181
43,132,0.359087597108072,2
42,675,0.14073539384530354,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.29817067990035073,2
36,28,,
35,3,0.3166095001702733,1
34,13,0.09361718287613874,4
33,13,0.15978429578869013,8
32,15,0.1458771673354966,1
31,56,0.2099774304794203,5
30,5,0.21814290673968662,2
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
