Iteration,SampleCount,S_METALLICITY,S_METALLICITY_Weight
56,50,,
55,145,0.15703623188405796,138
54,78,0.1648,55
53,36,0.15517857142857144,28
52,24,0.2331052631578947,19
51,114,0.19357,100
50,91,0.22347222263888888,72
49,123,0.18941525423728814,118
48,159,0.2505648149074074,108
47,202,0.21131382973404256,188
46,186,0.1701526716793893,131
45,51,0.13476923076923075,26
44,1218,0.14810289115646258,1176
43,137,0.11000000000000003,2
42,674,,
41,5,,
40,1,,
39,3,,
38,1,,
37,7,0.31400000000000006,2
36,28,,
35,3,0.26,1
34,12,0.2866666666666666,3
33,17,0.2072727272727273,11
32,12,0.3100000000000001,1
31,55,0.11750000000000001,4
30,6,0.4049999999999999,2
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
