Iteration,SampleCount,S_METALLICITY,S_METALLICITY_Weight
56,51,,
55,150,0.1907986111111111,144
54,75,0.20287931034482756,58
53,32,0.1414074074074074,27
52,24,0.2806111111111111,18
51,119,0.21200961538461538,104
50,81,0.18901515166666666,66
49,125,0.20873684210526317,114
48,158,0.19774757291262138,103
47,212,0.1939119169430052,193
46,176,0.20032539698412696,126
45,56,0.1960769230769231,26
44,1221,0.12632739609838847,1179
43,133,0.23000000000000004,1
42,676,0.22000000000000008,1
41,4,,
40,1,,
39,3,,
38,1,,
37,6,0.5090000000000001,1
36,29,,
35,3,0.37000000000000005,1
34,13,0.23500000000000007,4
33,16,0.15818181818181817,11
32,12,0.06000000000000011,1
31,55,0.1925,4
30,6,0.4149999999999999,2
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
