Iteration,SampleCount,S_METALLICITY,S_METALLICITY_Weight
56,49,,
55,155,0.14640931018672781,147
54,59,0.1467094539559569,45
53,46,0.15824406580330397,28
52,23,0.2936829855959828,18
51,117,0.23826973029233714,102
50,85,0.317277579876894,68
49,138,0.22771203290706693,129
48,148,0.21266378220339127,108
47,212,0.18234823475371376,198
46,168,0.16624656928941128,123
45,55,0.16551870141852257,22
44,1216,0.11057414026929362,1170
43,143,0.14504699329298315,2
42,675,0.24579529879878137,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.38860937419059755,2
36,28,,
35,3,0.03931712396453496,1
34,13,0.1533377954026382,4
33,16,0.20315542087942484,11
32,12,0.3561459340757012,1
31,55,0.29090341510772244,4
30,6,0.27646958670740907,2
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
