Iteration,SampleCount,S_METALLICITY,S_METALLICITY_Weight
56,55,0.18265870935486458,54
55,145,0.14236640764108713,142
54,74,0.14991950214308336,55
53,32,0.13684714441732282,24
52,29,0.23188957609911331,20
51,125,0.15044701706996466,112
50,75,0.2195607587566663,68
49,140,0.16897666863616562,131
48,144,0.1842738844752432,106
47,205,0.16326262428850896,189
46,178,0.13745732395495036,124
45,55,0.12556040109102076,23
44,1207,0.0878571223301496,1162
43,151,0.34782570432574633,2
42,675,0.23073246508664316,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.17044882152526541,2
36,28,,
35,3,0.3701934302216169,1
34,13,0.08437633772836606,4
33,14,0.09440240040838899,9
32,13,,
31,57,0.3074664953804734,5
30,5,0.22857047013564563,2
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
