Iteration,SampleCount,S_METALLICITY,S_METALLICITY_Weight
56,46,0.13649777777777775,45
55,155,0.14974685314685313,143
54,73,0.13233449249779347,55
53,31,0.14767874834896988,23
52,30,0.20314828545867022,20
51,118,0.15387057576240062,105
50,81,0.17443629220162526,67
49,138,0.1717369531596521,128
48,152,0.22480401235272549,111
47,202,0.1823963507170263,191
46,176,0.1397812467595623,124
45,54,0.159,22
44,1222,0.07391848950857025,1176
43,136,0.39806209860191566,1
42,676,0.3379101084917202,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.14680755610674545,2
36,28,,
35,3,0.34228112257407994,1
34,13,0.12532129547576237,4
33,14,0.12292187024424683,9
32,14,0.3420102343292213,1
31,56,0.32961817247996283,5
30,5,0.28222913013057166,2
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
