Iteration,SampleCount,S_METALLICITY,S_METALLICITY_Weight
56,54,0.15971203366914993,53
55,144,0.15033460968246395,140
54,73,0.17853471440443125,52
53,38,0.12307302339213888,27
52,27,0.2490991663737972,21
51,111,0.1562409538388872,99
50,88,0.2029862567603232,68
49,139,0.1674940294060062,130
48,146,0.1889341994570123,107
47,213,0.16121667543092566,198
46,169,0.12825840284503376,124
45,57,0.14405338755492128,25
44,1210,0.08791991415652876,1167
43,146,0.30187980882299575,2
42,675,0.06728291385174229,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.16835954031927794,2
36,28,,
35,3,0.2615138204592005,1
34,13,0.11844111307657605,4
33,13,0.10416317171501376,8
32,15,0.2265762922241657,1
31,55,0.27642604071029747,4
30,6,0.20390111216942003,2
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
