Iteration,SampleCount,S_METALLICITY,S_METALLICITY_Weight
56,52,,
55,151,0.1521483230987246,146
54,67,0.12967562473823818,52
53,36,0.14987978957889472,25
52,28,0.2021585268937731,20
51,109,0.15072888201896115,96
50,91,0.17370152269838687,68
49,141,0.16471738567101488,132
48,150,0.22524118668622867,113
47,200,0.18069021091164783,191
46,183,0.1486304947873016,131
45,49,0.15359373411356775,24
44,1203,0.0739484288102975,1159
43,154,0.3500463998141267,2
42,674,,
41,5,,
40,1,,
39,3,,
38,1,,
37,7,0.14877918882190236,2
36,28,,
35,3,0.3403106808179782,1
34,12,0.14645781429896293,3
33,17,0.12482351543767489,11
32,12,0.33994420154179306,1
31,55,0.40257814223849486,4
30,6,0.2801783941553279,2
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
