Iteration,SampleCount,S_METALLICITY,S_METALLICITY_Weight
56,54,,
55,143,0.20674523153427457,140
54,75,1.5724443849522485,54
53,36,0.568741882774841,27
52,24,2.745110351920853,18
51,115,5.622208568893653,100
50,86,417102955.7400787,67
49,138,333.3661064752354,128
48,150,95.03445252802209,109
47,197,163652.40279639795,184
46,189,541695.1813145413,130
45,51,39046.03490855645,25
44,1214,11093.31253304143,1171
43,142,4719.195427079493,2
42,675,5092.381228592652,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,1017.3664213422423,2
36,28,,
35,3,13022.169806220438,1
34,13,9137.084329192574,4
33,15,13711.163249616544,10
32,13,3726.4172985349187,1
31,56,26530.657380597422,5
30,5,72680.09765356348,2
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
