Iteration,SampleCount,S_METALLICITY,S_METALLICITY_Weight
56,53,0.1527192652061729,52
55,145,0.1658661056617265,140
54,74,0.15360330286947665,53
53,37,0.146183265805872,27
52,26,0.2889357351540851,20
51,112,0.25038564885508197,99
50,90,0.34369819774036864,70
49,136,0.23416624702381442,129
48,149,0.21246892242317625,109
47,208,0.20316080068247752,195
46,176,0.15232252795206344,128
45,53,0.18818469966191145,25
44,1207,0.11252992548519393,1164
43,149,0.23788556164674762,2
42,675,0.03782601930691437,1
41,4,,
40,1,,
39,3,,
38,1,,
37,6,0.3536060335639103,1
36,29,,
35,3,0.06885634255819134,1
34,12,0.060624387336187927,3
33,15,0.21915305191021275,9
32,14,0.0523738419942652,1
31,56,0.28285625222344857,5
30,5,0.2530743192449008,2
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
